CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
29051;Ergué-Gabéric;12
29053;Le Faou;8.6
29058;Fouesnant;11.7
29061;Gouesnou;12.2
29069;Guilers;9.6
29075;Guipavas;9.9
29081;Huelgoat;4
29082;Île-de-Batz;22
29083;Île-de-Sein;39.2
29084;Île-Molène;0
29103;Landerneau;9.8
29105;Landivisiau;7.5
29124;Lesneven;10.2
29147;Mellac;6.2
29150;Moëlan-sur-Mer;12.5
29151;Morlaix;8.1
29155;Ouessant;36
29158;Penmarch;9.3
29160;Plabennec;7.3
29162;Pleyben;8.8
29174;Plonéour-Lanvern;4.7
29178;Ploudalmézeau;10.5
29185;Plouescat;9.2
29189;Plougastel-Daoulas;11.3
29195;Plouguerneau;8.1
29197;Plouhinec;11
29199;Plouigneau;4.9
29212;Plouzané;8.7
29217;Pont-Aven;9.3
29220;Pont-l'Abbé;14.5
29232;Quimper;10.9
29233;Quimperlé;10.1
29235;Le Relecq-Kerhuon;9.5
29241;Rosporden;6.5
29259;Saint-Pol-de-Léon;10.6
29260;Saint-Renan;11.4
29274;Scaër;7.9
29302;Pont-de-Buis-lès-Quimerch;10.5
2A01;Ajaccio;8.9
2A02;Vallée du Prunelli;9.9
2A03;Rive Sud;16
2A04;Cinarca;8.5
2A05;Taravo;11.4
2A06;Propriano-Sartène;9.1
2A07;Alta-Rocca;9.6
2A08;Gravona-Cruzini;4.6
2A09;Grand Sud;9.2
2A10;Cargèse;16.4
2A11;Vico;16.1
2B12;Aléria-Cervione;8.1
2B13;Calvi;6.5
2B14;Fiumorbu;8.4
2B15;Ile-Rousse;10.4
2B16;Casinca;13
2B17;Corte;8
2B18;Ponte-Leccia;10.3
2B19;Borgo-Biguglia;5.3
2B20;Nebbiu;7.4
2B21;Bastia;11.2
2B23;Cap Corse;9.2
30003;Aigues-Mortes;10.4
30007;Alès;10.2
30010;Anduze;6
30011;Les Angles;9.4
30028;Bagnols-sur-Cèze;8.6
30032;Beaucaire;4.8
30034;Bellegarde;8.2
30037;Bessèges;1.6
30062;Calvisson;11.5
30132;La Grand-Combe;2.3
30141;Laudun-l'Ardoise;6
30155;Manduel;6.4
30156;Marguerittes;9
30169;Milhaud;9.5
30189;Nîmes;11.9
30202;Pont-Saint-Esprit;6.1
30210;Quissac;10.6
30212;Remoulins;10.2
30221;Roquemaure;7.8
30227;Saint-Ambroix;3.8
30243;Saint-Christol-lès-Alès;8.1
30258;Saint-Gilles;6.5
30263;Saint-Hippolyte-du-Fort;13
30269;Saint-Jean-du-Gard;10.4
30305;Salindres;2.9
30321;Sommières;8.3
30334;Uzès;9.6
30341;Vauvert;7.4
30344;Vergèze;11
30350;Le Vigan;9.5
30351;Villeneuve-lès-Avignon;8
31020;Aspet;9.8
31022;Aucamville;14.6
31033;Auterive;7.7
31042;Bagnères-de-Luchon;12.2
31044;Balma;13
31056;Beauzelle;10.1
31066;Bessières;5.5
31069;Blagnac;11.9
31080;Boulogne-sur-Gesse;10.3
31098;Cadours;9.7
31106;Caraman;3.9
31107;Carbonne;11.8
31113;Castanet-Tolosan;10.5
31118;Castelnau-d'Estrétefonds;10.1
31135;Cazères;6.2
31149;Colomiers;11.8
31150;Cornebarrieu;19.2
31157;Cugnaux;12
31182;Fenouillet;9.4
31187;Fonsorbes;8.4
31202;Fronton;10.8
31232;Grenade;5.2
31239;L'Isle-en-Dodon;7.7
31254;Labège;17.6
31282;Launaguet;6.2
31291;Léguevin;7.3
31324;Martres-Tolosane;9.8
31358;Montastruc-la-Conseillère;12
31375;Montesquieu-Volvestre;9.5
31390;Montréjeau;6.6
31395;Muret;12
31396;Nailloux;9.3
31417;Pibrac;13.2
31421;Pins-Justaret;14.5
31424;Plaisance-du-Touch;9
31433;Portet-sur-Garonne;9.3
31445;Quint-Fonsegrives;16.8
31446;Ramonville-Saint-Agne;12.9
31451;Revel;9.9
31454;Rieumes;9.8
31458;Roques;15
31467;Saint-Alban;12.6
31483;Saint-Gaudens;8.1
31488;Saint-Jean;16.2
31490;Saint-Jory;8.8
31499;Saint-Lys;6.9
31506;Saint-Orens-de-Gameville;10.5
31523;Salies-du-Salat;13.7
31526;La Salvetat-Saint-Gilles;9.5
31547;Seysses;9.7
31555;Toulouse;11.6
31557;Tournefeuille;9.8
31561;L'Union;14
31572;Venerque;15
31573;Verfeil;9
31582;Villefranche-de-Lauragais;13.6
31584;Villemur-sur-Tarn;7.2
31588;Villeneuve-Tolosane;5.7
32013;Auch;10.3
32096;Cazaubon;19
32107;Condom;7.1
32119;Eauze;7.1
32132;Fleurance;5.6
32147;Gimont;10.1
32160;L'Isle-Jourdain;5.8
32208;Lectoure;11.9
32213;Lombez;10.2
32233;Marciac;12.1
32242;Masseube;13.9
32249;Mauvezin;7
32256;Mirande;6.5
32296;Nogaro;7.5
32319;Plaisance;8.3
32344;Riscle;8
32410;Samatan;13.5
32462;Vic-Fezensac;8.8
33003;Ambarès-et-Lagrave;9.1
33005;Andernos-les-Bains;10.4
33009;Arcachon;23.3
33011;Arès;7.9
33013;Artigues-près-Bordeaux;12
33036;Bazas;9.7
33039;Bègles;10.4
33051;Biganos;8.4
33056;Blanquefort;7.7
33058;Blaye;8.6
33063;Bordeaux;15.6
33067;Bourg;7
33069;Le Bouscat;13.8
33075;Bruges;8.7
33081;Cadillac;6.5
33090;Canéjan;17.1
33096;Carbon-Blanc;9
33104;Castelnau-de-Médoc;7.9
33108;Castillon-la-Bataille;7.8
33119;Cenon;25.3
33122;Cestas;11.2
33123;Cézac;6.4
33138;Coutras;6.4
33140;Créon;9.6
33162;Eysines;9.5
33167;Floirac;13.5
33192;Gradignan;13.4
33199;Gujan-Mestras;9.3
33200;Le Haillan;6.2
33213;La Brède;9.4
33214;Lacanau;10.4
33227;Langon;13
33234;Latresne;11.6
33236;Lège-Cap-Ferret;10.3
33238;Léognan;11
33240;Lesparre-Médoc;8.4
33243;Libourne;12.1
33249;Lormont;20.3
33273;Martignas-sur-Jalle;10.7
33281;Mérignac;12.3
33289;Monségur;7.7
33312;Parempuyre;9.8
33314;Pauillac;9.2
33318;Pessac;9.9
33327;Podensac;5.8
33334;Portets;14.1
33352;La Réole;5.8
33366;Saint-André-de-Cubzac;8.7
33389;Saint-Ciers-sur-Gironde;9.2
33397;Sainte-Eulalie;8.3
33402;Sainte-Foy-la-Grande;6.1
33422;Saint-Jean-d'Illac;10.4
33433;Saint-Loubès;8.4
33449;Saint-Médard-en-Jalles;11.3
33478;Saint-Seurin-sur-l'Isle;8.5
33498;Salles;8.3
33506;Sauveterre-de-Guyenne;11.7
33514;Soulac-sur-Mer;8.6
33519;Le Taillan-Médoc;11.1
